ID,Scale,High.Level.Cat,Specific.Skill,Rank.Now,Rank.Future,TeamFolder,Team,Group.Class,Rank.Now.Num,Rank.Future.Num,Gap,Gap2,CreditSkill,DebitSkill,Year
1,Scale F,Systems,BEEDS,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Systems,BSM,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
1,Scale F,Systems,MIDAS,Not applicable (0),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,1,-1,1,FALSE,TRUE,2018
1,Scale F,Systems,TARSAMM,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Systems,Aperture,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
1,Scale F,Systems,TRAFFIC,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Systems,Hub,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Systems,MarkitEDM,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Systems,DKAN (data inventory system),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Systems,TARDIS / INTACT,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
1,Scale F,Systems,BI COGNOS,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Systems,MOSR / EDM,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Systems,GABRIEL,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
1,Scale F,Systems,RWM,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Systems,OSCA,Not applicable (0),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,1,-1,1,FALSE,TRUE,2018
1,Scale F,Analytical tools,Excel,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Programming tools for analysis (R, Python, Matlab)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
